294,24.38,47.09,5.71
295,24.49,-27.66,5.27
296,24.56,-18.36,5.49
297,24.58,-67.49,5.87
298,24.67,-2.02,4.9
299,24.7,-58.58,5.94
300,24.7,-1.02,5.82
301,25.05,-16.56,5.47
302,25.2,-76.13,4.58
303,25.24,30.18,5.48
304,25.27,-80.63,5.44
305,25.5,-60.97,4.19
306,25.54,50.29,5.94
307,25.98,47.87,3.66
308,26.03,-21.54,5.01
309,26.03,19.03,5.58
310,26.04,31.77,5.14
311,26.07,49.26,5.99
312,26.08,-29.78,5.91
313,26.21,45.02,5.54
314,26.23,-29.08,5.25
315,26.31,-42.85,5.62
316,26.32,-81.13,5.41
317,26.32,56.76,5.95
318,26.51,66.57,5.9
319,26.71,12.1,5.95
320,26.77,20.75,4.32
321,26.8,-29.27,4.8
322,26.84,-39.21,5.3
323,26.91,5.36,3.25
324,26.99,-54.7,5.58
325,26.99,-43.59,3.75
326,27.16,12.55,5.84
327,27.22,-47.22,5.24
328,27.3,13.67,5.92
329,27.41,-1.72,5.4
330,27.46,35.97,4.84
331,27.47,-2.3,5.98
332,27.58,-31.87,5.15
333,27.75,45.71,3.85
334,27.98,-43.87,4.51
335,28.02,15.36,3.75
336,28.06,-37.86,4.85
337,28.17,-69.95,5.66
338,28.2,-40.61,5.16
339,28.23,-8.31,5.36
340,28.23,-1.22,4.23
341,28.27,-21.69,5.7
342,28.31,-14.44,5.13
343,28.37,-3.91,4.82
344,28.37,29.5,3.19
345,28.38,11.64,4.44
346,28.54,-56.78,5.53
347,28.64,-43.36,5.77
348,28.68,3.93,5.38
349,28.74,30.66,4.37
350,28.79,-42.56,5.37
351,28.98,-4.89,4.02
352,29.16,-26.37,3.09
353,29.22,17.19,2.77
354,29.34,-35.06,5.78
355,29.46,38.63,4.58
356,29.47,77.55,5.97
357,29.54,-17.66,6
358,29.69,49.96,5.8
359,29.73,12.63,3.98
360,29.82,3.88,5.95
361,29.83,-31.23,5.79
362,29.83,-18,5.39
363,29.91,11.37,4.03
364,29.93,55.89,5.69
365,30.1,48.33,4.09
366,30.27,-5.51,3.44
367,30.34,5.48,5.2
368,30.41,-23.59,5.84
369,30.63,18.41,5.96
370,30.82,72.18,4.82
371,30.88,-4.84,5.4
372,30.89,-44.7,5.7
373,30.95,-30.5,5.26
374,30.95,-4.23,5.41
375,30.98,10.66,5.67
376,31,13.37,4.79
377,31.01,23.44,5.76
378,31.02,43.64,5
379,31.08,2.94,5.77
380,31.1,-24.81,3.58
381,31.1,-24.7,4.24
382,31.11,-59.3,5.97
383,31.12,-64.99,5.66
384,31.18,-25.48,4.76
385,31.2,45.44,5.11
386,31.25,10.58,5.49
387,31.32,-37.29,4.08
388,31.39,26.74,5.33
389,31.4,-8.93,4.99
